datetime,device,r/s,rMB/s,rrqm/s,%rrqm,r_await,rareq-sz,w/s,wMB/s,wrqm/s,%wrqm,w_await,wareq-sz,d/s,dMB/s,drqm/s,%drqm,d_await,dareq-sz,aqu-sz,%util
2023-01-29 16:56:26,sda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-29 16:56:27,sda,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.5,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-29 16:56:28,sda,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.25,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0
2023-01-29 16:56:29,sda,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.02,2.0,25.0,2.83,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.0
2023-01-29 16:56:30,sda,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,3.75,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0
2023-01-29 16:56:31,sda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-29 16:56:32,sda,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.25,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-29 16:56:33,sda,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.75,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-29 16:56:34,sda,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.5,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-29 16:56:35,sda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-29 16:56:36,sda,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.01,1.0,14.29,4.17,343.33,0.0,0.0,0.0,0.0,0.0,0.0,0.03,2.0
2023-01-29 16:56:37,sda,0.0,0.0,0.0,0.0,0.0,0.0,3.96,1.98,0.0,0.0,0.5,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99
2023-01-29 16:56:38,sda,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.25,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-29 16:56:39,sda,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.75,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-29 16:56:40,sda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-29 16:56:41,sda,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.25,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-29 16:56:42,sda,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.01,1.0,14.29,4.0,343.33,0.0,0.0,0.0,0.0,0.0,0.0,0.03,2.0
2023-01-29 16:56:43,sda,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,4.25,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.0
2023-01-29 16:56:44,sda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-29 16:56:45,sda,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.75,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-29 16:56:46,sda,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-29 16:56:47,sda,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,3.8,410.4,0.0,0.0,0.0,0.0,0.0,0.0,0.02,2.0
2023-01-29 16:56:48,sda,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.01,1.0,14.29,1.67,343.33,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0
2023-01-29 16:56:49,sda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-29 16:56:50,sda,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.75,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-29 16:56:51,sda,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.5,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-29 16:56:52,sda,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.25,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0
2023-01-29 16:56:53,sda,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.25,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-29 16:56:54,sda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-29 16:56:55,sda,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.01,1.0,14.29,1.0,343.33,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0
2023-01-29 16:56:56,sda,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.75,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-29 16:56:57,sda,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.75,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-29 16:56:58,sda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-29 16:56:59,sda,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.5,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-29 16:57:00,sda,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.5,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-29 16:57:01,sda,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.01,1.0,14.29,1.33,343.33,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0
2023-01-29 16:57:02,sda,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.75,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-29 16:57:03,sda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-29 16:57:04,sda,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.5,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-29 16:57:05,sda,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-29 16:57:06,sda,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.5,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-29 16:57:07,sda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-29 16:57:08,sda,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.01,1.0,14.29,2.83,343.33,0.0,0.0,0.0,0.0,0.0,0.0,0.02,2.0
2023-01-29 16:57:09,sda,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0
2023-01-29 16:57:10,sda,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.5,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-29 16:57:11,sda,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.5,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-29 16:57:12,sda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-29 16:57:13,sda,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-29 16:57:14,sda,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.01,1.0,14.29,3.17,343.33,0.0,0.0,0.0,0.0,0.0,0.0,0.02,2.0
2023-01-29 16:57:15,sda,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-29 16:57:16,sda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-29 16:57:17,sda,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.5,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-29 16:57:18,sda,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.5,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-29 16:57:19,sda,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0
2023-01-29 16:57:20,sda,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.01,1.0,14.29,3.33,343.33,0.0,0.0,0.0,0.0,0.0,0.0,0.02,2.0
2023-01-29 16:57:21,sda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-29 16:57:22,sda,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,3.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0
2023-01-29 16:57:23,sda,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.25,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0
2023-01-29 16:57:24,sda,0.0,0.0,0.0,0.0,0.0,0.0,3.96,1.98,0.0,0.0,0.5,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99
2023-01-29 16:57:25,sda,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.5,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-29 16:57:26,sda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-29 16:57:27,sda,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.01,1.0,14.29,2.17,343.33,0.0,0.0,0.0,0.0,0.0,0.0,0.02,2.0
2023-01-29 16:57:28,sda,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.75,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0
2023-01-29 16:57:29,sda,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,10.75,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,2.0
2023-01-29 16:57:30,sda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-29 16:57:31,sda,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.5,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-29 16:57:32,sda,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.5,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0
2023-01-29 16:57:33,sda,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.01,1.0,14.29,2.0,343.33,0.0,0.0,0.0,0.0,0.0,0.0,0.02,2.0
2023-01-29 16:57:34,sda,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.5,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-29 16:57:35,sda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-29 16:57:36,sda,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.5,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-29 16:57:37,sda,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.75,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
